Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"12/12/25, 17:51:59",User_15e2aede,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '173' viewed the course with id '83'.,web,120.17.187.163
"12/12/25, 17:51:19",User_15e2aede,User_15e2aede,Subject: 202503 HVEC702 User Experience Design,System,Course user report viewed,The user with id '173' viewed the user report for the course with id '83' for user with id '173'.,web,120.17.187.163
"12/12/25, 17:43:23",User_b17d649f,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Section viewed,The user with id '207' viewed the section with id '1125'.,web,110.142.213.118
"12/12/25, 17:42:58",User_b17d649f,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '207' has viewed the submission status page for the assignment with course module id '2889'.,web,110.142.213.118
"12/12/25, 17:42:58",User_b17d649f,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '207' viewed the 'assign' activity with course module id '2889'.,web,110.142.213.118
"12/12/25, 17:42:52",User_b17d649f,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Section viewed,The user with id '207' viewed the section with id '1125'.,web,110.142.213.118
"12/12/25, 17:42:35",User_b17d649f,User_a9d623bd,Assignment: Assessment 2 Submission,Assignment,The status of the submission has been viewed.,The user with id '207' has viewed the submission status page for the assignment with course module id '2887'.,web,110.142.213.118
"12/12/25, 17:42:35",User_b17d649f,User_b17d649f,Assignment: Assessment 2 Submission,Assignment,Feedback viewed,The user with id '207' viewed the feedback for the user with id '207' for the assignment with course module id '2887'.,web,110.142.213.118
"12/12/25, 17:42:34",User_b17d649f,User_a9d623bd,Assignment: Assessment 2 Submission,Assignment,Course module viewed,The user with id '207' viewed the 'assign' activity with course module id '2887'.,web,110.142.213.118
"12/12/25, 17:42:22",User_b17d649f,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Section viewed,The user with id '207' viewed the section with id '1125'.,web,110.142.213.118
"12/12/25, 17:42:13",User_b17d649f,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '207' viewed the course with id '83'.,web,110.142.213.118
"12/12/25, 17:42:03",User_b17d649f,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '207' viewed the course with id '83'.,web,110.142.213.118
"12/12/25, 17:38:53",User_bd08e768,User_bd08e768,Subject: 202503 HVEC702 User Experience Design,User report,Grade user report viewed,The user with id '165' viewed the user report in the gradebook.,web,120.17.141.136
"12/12/25, 17:38:50",User_bd08e768,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '165' viewed the course with id '83'.,web,120.17.141.136
"12/12/25, 17:29:51",User_d2be2d85,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '193' has viewed the submission status page for the assignment with course module id '2889'.,web,120.17.91.46
"12/12/25, 17:29:51",User_d2be2d85,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '193' viewed the 'assign' activity with course module id '2889'.,web,120.17.91.46
"12/12/25, 17:29:46",User_d2be2d85,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '193' viewed the section number '12' of the course with id '83'.,web,120.17.91.46
"12/12/25, 17:29:42",User_d2be2d85,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '193' viewed the course with id '83'.,web,120.17.91.46
"12/12/25, 17:28:05",User_260b4f71,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '192' viewed the section number '12' of the course with id '83'.,web,27.32.54.10
"12/12/25, 17:28:05",User_260b4f71,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '192' viewed the course with id '83'.,web,27.32.54.10
"12/12/25, 17:27:51",User_260b4f71,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '192' has viewed the submission status page for the assignment with course module id '2889'.,web,27.32.54.10
"12/12/25, 17:27:50",User_260b4f71,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '192' viewed the 'assign' activity with course module id '2889'.,web,27.32.54.10
"12/12/25, 17:27:47",User_260b4f71,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '192' viewed the section number '12' of the course with id '83'.,web,27.32.54.10
"12/12/25, 17:27:43",User_260b4f71,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '192' viewed the course with id '83'.,web,27.32.54.10
"12/12/25, 17:26:53",User_c285a351,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '179' viewed the course with id '83'.,web,120.17.223.147
"12/12/25, 17:25:31",User_260b4f71,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '192' viewed the course with id '83'.,web,27.32.54.10
"12/12/25, 15:44:05",User_4283bbe3,User_a9d623bd,File: Unit Outline,File,Course module viewed,The user with id '261' viewed the 'resource' activity with course module id '2845'.,web,123.243.46.2
"12/12/25, 15:41:55",User_4283bbe3,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '261' viewed the course with id '83'.,web,123.243.46.2
"12/12/25, 10:04:48",User_807c17cf,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '225' viewed the course with id '83'.,web,202.7.251.171
"12/12/25, 09:53:31",User_807c17cf,User_a9d623bd,File: Unit Outline,File,Course module viewed,The user with id '225' viewed the 'resource' activity with course module id '2845'.,web,202.7.251.171
"12/12/25, 09:53:24",User_807c17cf,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '225' viewed the course with id '83'.,web,202.7.251.171
"12/12/25, 09:52:24",User_4283bbe3,User_807c17cf,Subject: 202503 HVEC702 User Experience Design,System,Role assigned,The user with id '261' assigned the role with id '4' to the user with id '225'.,web,123.243.46.2
"12/12/25, 09:52:22",User_4283bbe3,User_807c17cf,Subject: 202503 HVEC702 User Experience Design,System,User enrolled in course,The user with id '261' enrolled the user with id '225' using the enrolment method 'manual' in the course with id '83'.,web,123.243.46.2
"12/12/25, 09:52:06",User_4283bbe3,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,User list viewed,The user with id '261' viewed the list of users in the course with id '83'.,web,123.243.46.2
"12/12/25, 09:52:03",User_4283bbe3,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '261' viewed the course with id '83'.,web,123.243.46.2
"12/12/25, 09:42:33",User_4283bbe3,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '261' viewed the course with id '83'.,web,123.243.46.2
"11/12/25, 16:32:49",User_05c3ec46,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '210' viewed the course with id '83'.,web,49.184.109.163
"10/12/25, 13:19:10",User_bd08e768,User_bd08e768,Subject: 202503 HVEC702 User Experience Design,User report,Grade user report viewed,The user with id '165' viewed the user report in the gradebook.,web,103.190.19.86
"10/12/25, 13:19:06",User_bd08e768,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '165' viewed the course with id '83'.,web,103.190.19.86
"10/12/25, 12:38:23",User_e21d36d4,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,The status of the submission has been viewed.,The user with id '167' has viewed the submission status page for the assignment with course module id '2889'.,web,49.195.88.82
"10/12/25, 12:38:23",User_e21d36d4,User_a9d623bd,Assignment: Assessment 3: Real-Estate Website,Assignment,Course module viewed,The user with id '167' viewed the 'assign' activity with course module id '2889'.,web,49.195.88.82
"10/12/25, 12:38:19",User_e21d36d4,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '167' viewed the section number '12' of the course with id '83'.,web,49.195.88.82
"10/12/25, 12:38:18",User_e21d36d4,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '167' viewed the section number '12' of the course with id '83'.,web,49.195.88.82
"10/12/25, 12:38:14",User_e21d36d4,User_a9d623bd,Subject: 202503 HVEC702 User Experience Design,System,Course viewed,The user with id '167' viewed the course with id '83'.,web,49.195.88.82
"9/12/25, 10:36:50",User_fae03e7f,User_a9d623bd,Assignment: Task 5: Usability Exercise,Assignment,The status of the submission has been viewed.,The user with id '216' has viewed the submission status page for the assignment with course module id '3400'.,web,49.186.183.123
"9/12/25, 10:36:50",User_fae03e7f,User_fae03e7f,Assignment: Task 5: Usability Exercise,Assignment,Feedback viewed,The user with id '216' viewed the feedback for the user with id '216' for the assignment with course module id '3400'.,web,49.186.183.123
"9/12/25, 10:36:50",User_fae03e7f,User_a9d623bd,Assignment: Task 5: Usability Exercise,Assignment,Course module viewed,The user with id '216' viewed the 'assign' activity with course module id '3400'.,web,49.186.183.123
"9/12/25, 10:36:37",User_fae03e7f,User_a9d623bd,Assignment: Lab 08 - Full-stack website using Python (Flask),Assignment,The status of the submission has been viewed.,The user with id '216' has viewed the submission status page for the assignment with course module id '2871'.,web,49.186.183.123
"9/12/25, 10:36:37",User_fae03e7f,User_fae03e7f,Assignment: Lab 08 - Full-stack website using Python (Flask),Assignment,Feedback viewed,The user with id '216' viewed the feedback for the user with id '216' for the assignment with course module id '2871'.,web,49.186.183.123
"9/12/25, 10:36:36",User_fae03e7f,User_a9d623bd,Assignment: Lab 08 - Full-stack website using Python (Flask),Assignment,Course module viewed,The user with id '216' viewed the 'assign' activity with course module id '2871'.,web,49.186.183.123
"9/12/25, 10:36:24",User_fae03e7f,User_a9d623bd,Assignment: Lab 08 - Full-stack website using Python (Flask),Assignment,The status of the submission has been viewed.,The user with id '216' has viewed the submission status page for the assignment with course module id '2871'.,web,49.186.183.123
"9/12/25, 10:36:24",User_fae03e7f,User_fae03e7f,Assignment: Lab 08 - Full-stack website using Python (Flask),Assignment,Feedback viewed,The user with id '216' viewed the feedback for the user with id '216' for the assignment with course module id '2871'.,web,49.186.183.123
"9/12/25, 10:36:24",User_fae03e7f,User_a9d623bd,Assignment: Lab 08 - Full-stack website using Python (Flask),Assignment,Course module viewed,The user with id '216' viewed the 'assign' activity with course module id '2871'.,web,49.186.183.123
"9/12/25, 10:36:22",User_fae03e7f,User_a9d623bd,File: real_estate_site.zip,File,Course module viewed,The user with id '216' viewed the 'resource' activity with course module id '2872'.,web,49.186.183.123
"9/12/25, 10:36:19",User_fae03e7f,User_a9d623bd,Assignment: Lab 08 - Full-stack website using Python (Flask),Assignment,The status of the submission has been viewed.,The user with id '216' has viewed the submission status page for the assignment with course module id '2871'.,web,49.186.183.123
"9/12/25, 10:36:19",User_fae03e7f,User_fae03e7f,Assignment: Lab 08 - Full-stack website using Python (Flask),Assignment,Feedback viewed,The user with id '216' viewed the feedback for the user with id '216' for the assignment with course module id '2871'.,web,49.186.183.123
"9/12/25, 10:36:19",User_fae03e7f,User_a9d623bd,Assignment: Lab 08 - Full-stack website using Python (Flask),Assignment,Course module viewed,The user with id '216' viewed the 'assign' activity with course module id '2871'.,web,49.186.183.123
"9/12/25, 10:36:10",User_fae03e7f,User_a9d623bd,Assignment: Week 09 - Search Functionality,Assignment,The status of the submission has been viewed.,The user with id '216' has viewed the submission status page for the assignment with course module id '3475'.,web,49.186.183.123
"9/12/25, 10:36:09",User_fae03e7f,User_a9d623bd,Assignment: Week 09 - Search Functionality,Assignment,Course module viewed,The user with id '216' viewed the 'assign' activity with course module id '3475'.,web,49.186.183.123
"9/12/25, 10:36:05",User_fae03e7f,User_a9d623bd,Page: Example: Adding Search Functionality,Page,Course module viewed,The user with id '216' viewed the 'page' activity with course module id '2882'.,web,49.186.183.123
"9/12/25, 10:36:00",User_fae03e7f,User_a9d623bd,Book: Industry Practices,Book,Chapter viewed,The user with id '216' viewed the chapter with id '4913' for the book with course module id '2880'.,web,49.186.183.123
"9/12/25, 10:36:00",User_fae03e7f,User_a9d623bd,Book: Industry Practices,Book,Course module viewed,The user with id '216' viewed the 'book' activity with course module id '2880'.,web,49.186.183.123
"9/12/25, 10:35:54",User_fae03e7f,User_a9d623bd,Assignment: Task 1: Design,Assignment,The status of the submission has been viewed.,The user with id '216' has viewed the submission status page for the assignment with course module id '2995'.,web,49.186.183.123
"9/12/25, 10:35:54",User_fae03e7f,User_fae03e7f,Assignment: Task 1: Design,Assignment,Feedback viewed,The user with id '216' viewed the feedback for the user with id '216' for the assignment with course module id '2995'.,web,49.186.183.123
"9/12/25, 10:35:53",User_fae03e7f,User_a9d623bd,Assignment: Task 1: Design,Assignment,Course module viewed,The user with id '216' viewed the 'assign' activity with course module id '2995'.,web,49.186.183.123
"9/12/25, 10:35:40",User_fae03e7f,User_a9d623bd,Assignment: Assessment 2 Submission,Assignment,The status of the submission has been viewed.,The user with id '216' has viewed the submission status page for the assignment with course module id '2887'.,web,49.186.183.123
